Cohort,CaptureYear,CaptureCov,CaptureSwitch,NPOPS,Comps
2005,2019,7,0,0,44748
2006,2019,7,0,0,44451
2007,2019,7,0,0,43395
2008,2019,7,0,0,31779
2009,2019,7,0,0,28908
2010,2019,7,0,0,29799
2011,2019,7,0,0,29667
2012,2019,7,0,0,31449
2013,2019,7,0,0,28182
2014,2019,7,0,0,31284
2015,2019,7,0,0,24948
2016,2019,7,0,0,47817
2017,2019,7,0,0,49896
2018,2019,7,0,0,45672
2003,2020,7,0,0,27657
2004,2020,7,0,0,27825
2005,2020,7,0,0,28476
2006,2020,7,0,0,28287
2007,2020,7,0,0,27615
2008,2020,7,0,0,20223
2009,2020,7,0,0,18396
2010,2020,7,0,0,18963
2011,2020,7,0,0,18879
2012,2020,7,0,0,20013
2013,2020,7,0,0,17934
2014,2020,7,0,0,19908
2015,2020,7,0,0,15876
2016,2020,7,0,0,30429
2017,2020,7,0,0,31752
2018,2020,7,0,0,29064
2019,2020,7,0,0,24696
2003,2021,7,0,0,23706
2004,2021,7,0,0,23850
2005,2021,7,0,0,24408
2006,2021,7,0,0,24246
2007,2021,7,0,0,23670
2008,2021,7,0,0,17334
2009,2021,7,0,0,15768
2010,2021,7,0,0,16254
2011,2021,7,0,0,16182
2012,2021,7,0,0,17154
2013,2021,7,0,0,15372
2014,2021,7,0,0,17064
2015,2021,7,0,0,13608
2016,2021,7,0,0,26082
2017,2021,7,0,0,27216
2018,2021,7,0,0,24912
2019,2021,7,0,0,21168
2020,2021,7,0,0,20574
2008,2010,8,0,0,8667
2009,2010,8,0,0,7884
2003,2011,8,0,0,7902
2004,2011,8,0,0,7950
2005,2011,8,0,0,8136
2006,2011,8,0,0,8082
2007,2011,8,0,0,7890
2008,2011,8,0,0,5778
2009,2011,8,0,0,5256
2010,2011,8,0,0,5418
2003,2013,8,0,0,27657
2004,2013,8,0,0,27825
2005,2013,8,0,0,28476
2006,2013,8,0,0,28287
2007,2013,8,0,0,27615
2008,2013,8,0,0,20223
2009,2013,8,0,0,18396
2010,2013,8,0,1,18963
2011,2013,8,0,0,18879
2012,2013,8,0,0,20013
2003,2014,8,0,0,30291
2004,2014,8,0,0,30475
2005,2014,8,0,0,31188
2006,2014,8,0,0,30981
2007,2014,8,0,0,30245
2008,2014,8,0,0,22149
2009,2014,8,0,0,20148
2010,2014,8,0,0,20769
2011,2014,8,0,0,20677
2012,2014,8,0,0,21919
2013,2014,8,0,0,19642
2003,2016,8,0,0,5268
2004,2016,8,0,0,5300
2005,2016,8,0,0,5424
2006,2016,8,0,0,5388
2007,2016,8,0,0,5260
2008,2016,8,0,0,3852
2009,2016,8,0,0,3504
2010,2016,8,0,0,3612
2011,2016,8,0,0,3596
2012,2016,8,0,0,3812
2013,2016,8,0,0,3416
2014,2016,8,0,0,3792
2015,2016,8,0,0,3024
2003,2017,8,0,0,9219
2004,2017,8,0,0,9275
2005,2017,8,0,0,9492
2006,2017,8,0,0,9429
2007,2017,8,0,0,9205
2008,2017,8,0,0,6741
2009,2017,8,0,0,6132
2010,2017,8,0,0,6321
2011,2017,8,0,0,6293
2012,2017,8,0,0,6671
2013,2017,8,0,0,5978
2014,2017,8,0,0,6636
2015,2017,8,0,0,5292
2016,2017,8,0,0,10143
2003,2018,8,0,0,10536
2004,2018,8,0,0,10600
2005,2018,8,0,0,10848
2006,2018,8,0,0,10776
2007,2018,8,0,0,10520
2008,2018,8,0,0,7704
2009,2018,8,0,0,7008
2010,2018,8,0,0,7224
2011,2018,8,0,0,7192
2012,2018,8,0,0,7624
2013,2018,8,0,0,6832
2014,2018,8,0,0,7584
2015,2018,8,0,0,6048
2016,2018,8,0,0,11592
2017,2018,8,0,0,12096
2003,2019,8,0,0,147504
2004,2019,8,0,0,148400
2005,2019,8,0,0,151872
2006,2019,8,0,0,150864
2007,2019,8,0,0,147280
2008,2019,8,0,0,107856
2009,2019,8,0,0,98112
